numero	classe	numero_processo	relator	redator	data_julgamento	orgao	dje	tema_rg	raw
1	ADI	2.649							[ADI 2.649, voto da rel. min. Cármen Lúcia, j. 8-5-2008, P, DJE de 17-10-2008.]
2	ADI	2.076	C						[ADI 2.076, rel. min. Carlos Velloso, j. 15-8-2002, P, DJ de 8-8-2003.]
3	RHC	222.599	E						[RHC 222.599, rel. min. Edson Fachin, j. 7-2-2023, P, DJE de 23-3-2023.]
4	ADI	7.231	F						[ADI 7.231, rel. min. Flávio Dino, j. 16-6-2025, P, DJE de 22-8-2025.]
5	ADI	6.780	N						[ADI 6.780, rel. min. Nunes Marques, j. 4-9-2023, P, DJE de 31-10-2023.]
6	ADI	5.394	A						[ADI 5.394, rel. min. Alexandre de Moraes, j. 22-3-2018, P, DJE de 18-2-2019.]
7	ADI	4.650	L						[ADI 4.650, rel. min. Luiz Fux, j. 17-9-2015, P, DJE de 24-2-2016.]
8	ADPF	153	E						[ADPF 153, rel. min. Eros Grau, j. 29-4-2010, P, DJE de 6-8-2010.]
9	ADI	1.247							[ADI 1.247 MC, rel. min. Celso de Mello, j. 17-8-1995, P, DJ de 8-9-1995.]
10	HC	98.237	C						[HC 98.237, rel. min. Celso de Mello, j. 15-12-2009, 2ª T, DJE de 6-8-2010.]
11	HC	99.652	A						[HC 99.652, rel. min. Ayres Britto, j. 3-11-2009, 1ª T, DJE de 4-12-2009.]
12	HC	72.391							[HC 72.391 QO, rel. min. Celso de Mello, j. 8-3-1995, P, DJE de 17-3-1995.]
13	ARE	1.058.822							[ARE 1.058.822 RG, rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.375, com mérito pendente.]
14	HC	73.454	M						[HC 73.454, rel. min. Maurício Corrêa, j. 22-4-1996, 2ª T, DJ de 7-6-1996.]
15	ARE	1.551.254							[ARE 1.551.254 AgR, rel. min. Cristiano Zanin, j. 22-12-2025, P, DJE de 2-2-2026.]
16	ADI	4.245							[ADI 4.245 e ADI 7.686, rel. min. Luís Roberto Barroso, j. 27-8-2025, P, Informativo STF 1.188.]
17	ADI	7.600							[ADI 7.600, ADI 7.601 e 7.608, rel. min. Dias Toffoli, j. 1º-7-2025, P, DJE de 15-9-2025.]
18	ADPF	787	G						[ADPF 787, rel. min. Gilmar Mendes, j. 17-10-2024, P, DJE de 18-12-2024.]
19	ADI	5.783	R						[ADI 5.783, rel. min. Rosa Weber, j. 6-9-2023, P, DJE de 14-11-2023.]
20	ADI	6.561	E						[ADI 6.561, rel. min. Edson Fachin, j. 4-9-2023, P, DJE de 3-11-2023.]
21	ADPF	976							[ADPF 976 MC-REF, rel. min. Alexandre de Moraes, j. 22-8-2023, P, DJE de 21-9-2023.]
22	ADPF	779	D						[ADPF 779, rel. min. Dias Toffoli, j. 1º-8-2023, P, DJE de 6-10-2023.]
23	ADI	4.729							[ADI 4.729, voto do min. Gilmar Mendes, j. 29-5-2020, P, DJE de 16-6-2020.]
24	ADI	5.543	E						[ADI 5.543, rel. min. Edson Fachin, j. 11-5-2020, P, DJE de 26-8-2020.]
25	ADPF	395							[ADPF 395 e ADPF 444, rel. min. Gilmar Mendes, j. 14-6-2018, P, DJE de 22-5-2019.]
26	ADI	4.424							[ADI 4.424, voto do min. Marco Aurélio, j. 9-2-2012, P, DJE de 1º-8-2014.]
27	ADI	4.277							[ADI 4.277 e ADPF 132, rel. min. Ayres Britto, j. 5-5-2011, P, DJE de 14-10-2014
A pesquisa científica com células-tronco embrionárias, autorizada pela Lei 11.105/2005, objetiva o enfrentamento e cura
28	ADPF	1.107	C						[ADPF 1.107, rel. min. Cármen Lúcia, j. 23.5.2024, P, DJE de 26.8.2024.]
29	ARE	959.620	E						[ARE 959.620, rel. min. Edson Fachin, j. 2-4-2025, P, DJE de 2-7-2025, Tema 998, com mérito julgado.]
30	RE	881.748							[RE 881.748 RG, rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.374, com mérito pendente.]
31	ARE	1.316.562							[ARE 1.316.562 RG, rel. min. Alexandre de Moraes, j. 21-2-2025, P, DJE de 28-2-2025, Tema 1.376, com mérito pendente.]
32	RE	1.501.674							[RE 1.501.674 RG, rel. min. Flávio Dino, j. 14-2-2025, P, DJE de 26-2-2025, Tema 1.369, com mérito pendente.]
33	ARE	1.309.642	L						[ARE 1.309.642, rel. min. Luís Roberto Barroso, j. 1º-2-2024, P, DJE de 2-4-2024, Tema 1.236, com mérito julgado.]
34	RE	918.315	R						[RE 918.315, rel. min. Ricardo Lewandowski, j. 17-12-2022, P, DJE de 17-3-2023, Tema 1.096.]
35	RE	670.422	D						[RE 670.422, rel. min. Dias Toffoli, j. 15-8-2018, P, DJE de 10-3-2020. Tema 761.]
36	RE	580.252	A						[RE 580.252, rel. min. Alexandre de Moraes, red. do ac. min. Gilmar Mendes, j. 16-2-2017, P, DJE de 11-9-2017. Tema 365.]
37	RE	641.320	G						[RE 641.320, rel. min. Gilmar Mendes, j. 11-5-2016, P, DJE de 1º-8-2016. Tema 423.]
38	ARE	773.765							[ARE 773.765 RG, voto do min. Gilmar Mendes, j. 3-4-2014, P, DJE de 28-4-2014. Tema 713.]
39	RE	583.523	G						[RE 583.523, rel. min. Gilmar Mendes, j. 3-10-2013, P, DJE de 22-10-2014. Tema 113.]
40	RE	1.346.152	A						[RE 1.346.152, rel. min. Alexandre de Moraes, red. do ac. min. Flávio Dino, j. 26-11-2025, 1ª T, DJE de 5-3-2026.]
41	ARE	1.397.865							[ARE 1.397.865 ED-AgR-EDv-AgR, rel. min. Cristiano Zanin, red. do ac. min. Alexandre de Moraes, j. 24-2-2025, P, DJE de 7-3-2025.]
42	HC	143.988	E						[HC 143.988, rel. min. Edson Fachin, j. 24-8-2020, 2ªT, DJE de 4-9-2020.]
43	AR	1.244							[AR 1.244 EI, rel. min. Cármen Lúcia, j. 22-9-2016, P, DJE de 30-3-2017.]
44	MS	33.619	C						[MS 33.619, rel. min. Cármen Lúcia, j. 23-8-2016, 2ª T, DJE de 6-9-2016.]
45	RE	708.130							[RE 708.130 AgR, rel. min. Edson Fachin, j. 28-6-2016, 1ª T, DJE de 12-9-2016.]
46	ARE	639.337							[ARE 639.337 AgR, rel. min. Celso de Mello, j. 23-8-2011, 2ª T, DJE de 15-9-2011.]
47	RE	477.554							[RE 477.554 AgR, rel. min. Celso de Mello, j. 16-8-2011, 2ª T, DJE de 26-8-2011.]
48	HC	98.675	E						[HC 98.675, rel. min. Eros Grau, j. 9-6-2009, 2ª T, DJE de 21-8-2009.]
49	HC	89.176	G						[HC 89.176, rel. min. Gilmar Mendes, j. 22-8-2006, 2ª T, DJ de 22-9-2006.]
50	HC	85.237	C						[HC 85.237, rel. min. Celso de Mello, j. 17-3-2005, P, DJ de 29-4-2005.]
51	HC	84.409	J						[HC 84.409, rel. min. Joaquim Barbosa, red. do ac. min. Gilmar Mendes, j. 14-12-2004, 2ª T, DJ de 19-8-2005.]
52	HC	83.358	A						[HC 83.358, rel. min. Ayres Britto, j. 4-5-2004, 1ª T, DJ de 4-6-2004.]
53	RE	359.444	C						[RE 359.444, rel. min. Carlos Velloso, red. do ac. min. Marco Aurélio, j. 24-3-2004, P, DJ de 28-5-2004.]
54	HC	82.969	G						[HC 82.969, rel. min. Gilmar Mendes, j. 30-9-2003, 2ª T, DJ de 17-10-2003.]
55	HC	82.424	M						[HC 82.424, rel. min. Moreira Alves., red. do ac. min. Maurício Corrêa, j. 17-9-2003, P, DJ de 19-3-2004.]
56	RE	248.869							[RE 248.869, voto do rel. min. Maurício Corrêa, j. 7-8-2003, P, DJ de 12-3-2004.]
57	HC	71.373	F						[HC 71.373, rel. min. Francisco Rezek, red. do ac. min. Marco Aurélio, j. 10-11-1994, P, DJ de 22-11-1996.]
58	HC	70.389	S						[HC 70.389, rel. min. Sidney Sanches, red. do ac. min. Celso de Mello, j. 23-6-1994, P, DJ de 10-8-2001.]
59	ADPF	1.058							[ADPF 1.058 MC-Ref, rel. min. Gilmar Mendes, j. 13-11-2025, P, Informativo STF 1.199.]
60	ADI	7.719	D						[ADI 7.719, rel. min. Dias Toffoli, j. 19-8-2025, P, DJE de 15-9-2025.]
61	ADI	5.826							[ADI 5.826 e ADI 5.829, rel. min. Edson Fachin, red. do ac. min. Nunes Marques, j. 16-12-2024, P, DJE de 13-2-2025.]
62	ADI	6.218	N						[ADI 6.218, rel. min. Nunes Marques, red. do ac. min. Rosa Weber, j. 3-7-2023, P, DJE de 21-8-2023.]
63	ADI	5.625	E						[ADI 5.625, rel. min. Edson Fachin, red. do ac. min. Nunes Marques, j. 28-10-2021, P, DJE de 29-3-2022.]
64	ADC	66							[ADC 66, voto da rel. min. Cármen Lúcia, j. 21-12-2020, P, DJE de 19-3-2021.]
65	ADI	6.375							[ADI 6.375 MC, voto do red. do ac. min. Alexandre de Moraes, j. 11-5-2020, P, DJE de 9-11-2020.]
66	ADPF	449	L						[ADPF 449, rel. min. Luiz Fux, j. 8-5-2019, P, DJE de 2-9-2019.]
67	ADPF	46	M						[ADPF 46, rel. min. Marco Aurélio, voto do red. do ac. min. Eros Grau, j. 5-8-2009, P, DJE de 26-2-2010.]
68	ADI	1.950	E						[ADI 1.950, rel. min. Eros Grau, j. 3-11-2005, P, DJ de 2-6-2006.]
69	ARE	1.532.603							[ARE 1.532.603 RG, rel. min. Gilmar Mendes, j. 11.4.2025, P, DJE de 24.4.2025, Tema 1.389, com mérito pendente.]
70	ARE	1.266.095	D						[ARE 1.266.095, rel. min. Dias Toffoli, j. 17-3-2022, P, DJE de 25-4-2022, Tema 1.205.]
71	RE	1.054.110	L						[RE 1.054.110, rel. min. Luís Roberto Barroso, j. 9-5-2019, P, DJE de 6-9-2019, Tema 967.]
72	RE	839.950	L						[RE 839.950, rel. min. Luiz Fux, j. 24-10-2018, P, DJE de 2-4-2020, Tema 525.]
73	RE	958.252	L						[RE 958.252, rel. min. Luiz Fux, j. 30-8-2018, P, DJE de 13-9-2019, Tema 725.]
74	RE	1.254.871							[RE 1.254.871 AgR, rel. min. Dias Toffoli, j. 16-5-2022, 1º T, DJE de 20-6-2022.]
75	RE	349.686	E						[RE 349.686, rel. min. Ellen Gracie, j. 14-6-2005, 2ª T, DJ de 5-8-2005.]
76	RMS	25.104	E						[RMS 25.104, rel. min. Eros Grau, j. 21-2-2006, 1ª T, DJ de 31-3-2006.]
77	AI	481.886							[AI 481.886 AgR, rel. min. Carlos Velloso, j. 15-2-2005, 2ª T, DJ de 1º-4-2005.]
78	RE	214.382	O						[RE 214.382, rel. min. Octavio Gallotti, j. 21-9-1999, 1ª T, DJ de 19-11-1999.]
79	ADI	7.350	D						[ADI 7.350, rel. min. Dias Toffoli, j. 11-3-2024, P, DJE de 7-5-2024.]
80	ADI	7.228							[ADI 7.228, ADI 7.263 e ADI 7.325, rel. min. Ricardo Lewandowski, red. do ac. min. Cármen Lúcia, j. 28-2-2024, P, DJE de 27-5-2024.]
81	ADI	1.355							[ADI 1.355 MC, rel. min. Ilmar Galvão, j. 23-11-1995, P, DJ de 23-2-1996.]
82	ADI	839							[ADI 839 MC, rel. min. Néri da Silveira, red. do ac. min. Celso de Mello, j. 7-2-1993, P, DJ de 24-11-2006.]
83	ADI	5.705	A						[ADI 5.705, rel. min. André Mendonça, j. 9-6-2025, P, DJE de 28-8-2025.]
84	ADPF	366	G						[ADPF 366, rel. min. Gilmar Mendes, j. 24-2-2025, P, DJE de 6-3-2025.]
85	ADI	6.040							[ADI 6.040 e ADI 6.055, voto do rel. min. Gilmar Mendes, j. 2-10-2024, P, DJE de 2-12-2024.]
86	ADI	6.188	R						[ADI 6.188, rel. min. Ricardo Lewandowski, red. do ac. min. Edson Fachin, j. 22-8-2023, P, DJE de 24-10-2023.]
87	ADPF	983	N						[ADPF 983, rel. min. Nunes Marques, j. 3-7-2023, P, DJE de 21-8-2023.]
88	ADI	6.968	E						[ADI 6.968, rel. min. Edson Fachin, j. 22-4-2022, P, DJE de 19-5-2022.]
89	ADI	7.058							[ADI 7.058 MC, rel. min. André Mendonça, red. do ac. min. Nunes Marques, j. 3-3-2022, P, DJE de 26-5-2022.]
90	ADI	6.696	R						[ADI 6.696, rel. min. Ricardo Lewandowski, red. do ac. min. Luís Roberto Barroso, j. 26-8-2021, P, DJE de 13-12-2021.]
91	ADI	1.905	D						[ADI 1.905, rel. min. Dias Toffoli, j. 17-8-2021, P, DJE de 7-10-2021.]
92	ADPF	616	L						[ADPF 616, rel. min. Luís Roberto Barroso, j. 21-5-2021, P, DJE de 21-6-21.]
93	ADPF	485	L						[ADPF 485, rel. min. Luís Roberto Barroso, j. 7-12-2020, P, DJE de 4-2-2021.]
94	ADI	2.238	A						[ADI 2.238, rel. min. Alexandre de Moraes, j. 24-6-2020, P, DJE de 15-9-2020.]
95	ADI	6.045	M						[ADI 6.045, rel. min. Marco Aurélio, j. 22-6-2020, P, DJE de 17-7-2020.]
96	ADPF	572	E						[ADPF 572, rel. min. Edson Fachin, j. 18-6-2020, P, DJE de 7-5-2021.]
97	ADI	2.256	A						[ADI 2.256, rel. min. Alexandre de Moraes, j. 22-8-2019, P, DJE de 9-9-2020.]
98	ADI	1.703	A						[ADI 1.703, rel. min. Alexandre de Moraes, j. 8-11-2017, P, DJE de 19-12-2017.]
99	ADI	5.468	L						[ADI 5.468, rel. min. Luiz Fux, j. 30-6-2016, P, DJE de 2-8-2017.]
100	ADI	4.102	C						[ADI 4.102, rel. min. Cármen Lúcia, j. 30-10-2014, P, DJE de 10-2-2015.]
101	ADI	1.949	D						[ADI 1.949, rel. min. Dias Toffoli, j. 17-9-2014, P, DJE de 14-11-2014.]
102	ADI	2.300	T						[ADI 2.300, rel. min. Teori Zavascki, j. 21-8-2014, P, DJE de 17-9-2014.]
103	ADI	2.654	D						[ADI 2.654, rel. min. Dias Toffoli, j. 13-8-2014, P, DJE de 9-10-2014.]
104	ADI	179	D						[ADI 179, rel. min. Dias Toffoli, j. 19-2-2014, P, DJE de 28-3-2014.]
105	ADI	3.343	A						[ADI 3.343, rel. min. Ayres Britto, red. do ac. min. Luiz Fux, j. 1º-9-2011, P, DJE de 22-11-2011.]
106	ADI	1.578	C						[ADI 1.578, rel. min. Cármen Lúcia, j. 4-3-2009, P, DJE de 3-4-2009.]
107	ADC	4	S						[ADC 4, rel. min. Sydney Sanches, red. do ac. min. Celso de Mello, j. 1º-10-2008, P, DJE de 30-10-2014.]
108	ADI	1.706	E						[ADI 1.706, rel. min. Eros Grau, j. 9-4-2008, P, DJE de 12-9-2008.]
109	ADI	3.378	A						[ADI 3.378, rel. min. Ayres Britto, j. 9-4-2008, P, DJE de 20-6-2008.]
110	ADI	1.642	E						[ADI 1.642, rel. min. Eros Grau, j. 3-4-2008, P, DJE de 19-9-2008.]
111	ADI	523	E						[ADI 523, rel. min. Eros Grau, j. 3-4-2008, P, DJE de 17-10-2008.]
112	ADI	3.458	E						[ADI 3.458, rel. min. Eros Grau, j. 21-2-2008, P, DJE de 16-5-2008.]
113	ADI	104	S						[ADI 104, rel. min. Sepúlveda Pertence, j. 4-6-2007, P, DJ de 24-8-2007.]
114	ADI	3.394							[ADI 3.394, voto do min. Eros Grau, j. 2-4-2007, P, DJE de 15-8-2008.]
115	ADC	11							[ADC 11 MC, voto do min. Cezar Peluso, j. 28-3-2007, P, DJ de 29-6-2007.]
116	ADI	603	E						[ADI 603, rel. min. Eros Grau, j. 17-8-2006, P, DJ de 6-10-2006.]
117	ADI	2.911	A						[ADI 2.911, rel. min. Ayres Britto, j. 10-8-2006, P, DJ de 2-2-2007.]
118	ADI	3.252							[ADI 3.252 MC, rel. min. Gilmar Mendes, j. 6-4-2005, P, DJE de 24-10-2008.]
119	ADI	246	E						[ADI 246, rel. min. Eros Grau, j. 16-12-2004, P, DJ de 29-4-2005.]
120	ADI	3.046	S						[ADI 3.046, rel. min. Sepúlveda Pertence, j. 15-4-2004, P, DJ de 28-5-2004.]
121	ADI	738	M						[ADI 738, rel. min. Maurício Corrêa, j. 13-11-2002, P, DJ de 7-2-2003.]
122	ADI	2.214							[ADI 2.214 MC, rel. min. Maurício Corrêa, j. 6-2-2002, P, DJ de 19-4-2002.]
123	ADI	774	S						[ADI 774, rel. min. Sepúlveda Pertence, j. 10-12-1998, P, DJ de 26-2-1999.]
124	ADI	98	S						[ADI 98, rel. min. Sepúlveda Pertence, j. 7-8-1997, P, DJ de 31-10-1997.]
125	ADI	676	C						[ADI 676, rel. min. Carlos Velloso, j. 1º-7-1996, P, DJ de 29-11-1996.]
126	ADI	1.315							[ADI 1.315 MC, rel. min. Ilmar Galvão, j. 10-8-1995, P, DJ de 25-8-1995.]
127	ADI	605							[ADI 605 MC, rel. min. Celso de Mello, j. 23-10-1991, P, DJ de 5-3-1993.]
128	ARE	1.520.300							[ARE 1.520.300 RG, rel. min. Luís Roberto Barroso, j. 5-11-2024, P, DJE de 8-11-2024, Tema 1.350, com repercussão geral negada.]
129	RE	1.297.884							[RE 1.297.884 ED, rel. min. Dias Toffoli, red. do ac. min. Gilmar Mendes, j. 3-7-2023, P, DJE de 1º-9-2023, Tema 1.120, com mérito julgado.]
130	RE	684.612	R						[RE 684.612, rel. min. Ricardo Lewandowski, red. do ac. min. Luís Roberto Barroso, j. 3-7-2023, P, DJE de 3-8-2023, Tema 698, com mérito julgado.]
131	RE	1.059.819	M						[RE 1.059.819, rel. min. Marco Aurélio, red. do ac. min. Alexandre de Moraes, j. 21-2-2022, P, DJE de 3-5-2022, Tema 991.]
132	RE	592.581	R						[RE 592.581, rel. min. Ricardo Lewandowski, j. 13-8-2015, P, DJE de 1º-2-2016. Tema 220.]
133	ARE	1.499.584							[ARE 1.499.584 AgR, rel. min. Dias Toffoli, j. 25-2-2025, 2ª T, DJE de 15-9-2025.]
134	ARE	1.307.729							[ARE 1.307.729 AgR, rel. min. Luís Roberto Barroso, j. 3-5-2021, 1ª T, DJE de 7-5-2021.]
135	AC	4.005							[AC 4.005 AgR, rel. min. Teori Zavascki, j. 2-6-2016, P, DJE de 3-8-2016.]
136	SL	846							[SL 846 AgR, rel. min. Ricardo Lewandowski, j. 24-9-2015, P, DJE de 6-10-2015.]
137	AI	410.096							[AI 410.096 AgR, rel. min. Luís Roberto Barroso, j. 14-4-2015, 1ª T, DJE de 6-5-2015.]
138	RE	669.635							[RE 669.635 AgR, rel. min. Dias Toffoli, j. 17-3-2015, 2ª T, DJE de 13-4-2015.]
139	AP	470	J						[AP 470, rel. min. Joaquim Barbosa, j. 17-12-2012, P, DJE de 22-4-2013.]
140	AI	732.188							[AI 732.188 AgR, rel. min. Dias Toffoli, j. 12-6-2012, 1ª T, DJE de 1º-8-2012.]
141	RE	595.553							[RE 595.553 AgR-segundo, voto do min. Joaquim Barbosa, j. 8-5-2012, 2ª T, DJE de 4-9-2012.]
142	RE	427.574							[RE 427.574 ED, rel. min. Celso de Mello, j. 13-12-2011, 2ª T, DJE de 13-2-2012.]
143	RE	486.748							[RE 486.748, voto do min. Menezes Direito, j. 17-2-2009, 1ª T, DJE de 17-4-2009.]
144	HC	85.060	E						[HC 85.060, rel. min. Eros Grau, j. 23-9-2008, 1ª T, DJE de 13-2-2009.]
145	MS	22.690	C						[MS 22.690, rel. min. Celso de Mello, j. 17-4-1997, P, DJ de 7-12-2006.]
146	RE	365.368							[RE 365.368 AgR, rel. min. Ricardo Lewandowski, j. 22-5-2007, 1ª T, DJ de 29-6-2007.]
147	HC	86.581	E						[HC 86.581, rel. min. Ellen Gracie, j. 23-2-2006, P, DJ de 19-5-2006.]
148	RE	436.996							[RE 436.996 AgR, rel. min. Celso de Mello, j. 22-11-2005, 2ª T, DJ de 3-2-2006.]
149	RMS	24.699	E						[RMS 24.699, rel. min. Eros Grau, j. 30-11-2004, 1ª T, DJ de 1º-7-2005.]
150	ACO	730	J						[ACO 730, rel. min. Joaquim Barbosa, j. 22-9-2004, P, DJ de 11-11-2005.]
151	MS	23.452	C						[MS 23.452, rel. min. Celso de Mello, j. 16-9-1999, P, DJ de 12-5-2000.]
152	AO	366	C						[AO 366, rel. min. Celso de Mello, j. 22-4-1997, 1ª T, DJ de 8-9-2006.]
153	HC	72.851	C						[HC 72.851, rel. min. Celso de Mello, j. 25-10-1995, P, DJE de 28-11-2008.]
154	ADPF	522	M						[ADPF 522, rel. min. Marco Aurélio, red. do ac. min. Cristiano Zanin, j. 15-10-2025, P, DJE de 23-2-2026.]
155	ADI	7.654							[ADI 7.654 MC-REF, rel. min. Flávio Dino, j. 17-6-2024, P, DJE de 26-6-2024.]
156	ADI	1.003							[ADI 1.003, voto da min. Cármen Lúcia, j. 1º-8-2018, P, DJE de 18-2-2019.]
157	ACO	3.121	R						[ACO 3.121, rel. min. Rosa Weber, j. 13-10-2020, P, DJE de 27-10-2020.]
158	ACO	3.113	M						[ACO 3.113, rel. min. Marco Aurélio, red. do ac. min. Alexandre de Moraes, j. 13-10-2020, P, DJE de 16-12-2020.]
159	AP	1.002							[AP 1.002, voto do min. Edson Fachin, j. 9-6-2020, 2ª T, DJE de 17-11-2020.]
160	HC	94.163	A						[HC 94.163, rel. min. Ayres Britto, j. 2-12-2008, 1ª T, DJE de 23-10-2009.]
161	RE	450.855							[RE 450.855 AgR, rel. min. Eros Grau, j. 23-8-2005, 1ª T, DJ de 9-12-2005.]
162	ADI	3.540							[ADI 3.540 MC, rel. min. Celso de Mello, j. 1º-9-2005, P, DJ de 3-2-2006.]
163	ADI	5.657	L						[ADI 5.657, rel. min. Luiz Fux, j. 17-11-2022, P, DJE de 28-4-2023.]
164	ADI	6.287	R						[ADI 6.287, rel. min. Rosa Weber, j. 19-9-2022, P, DJE de 29-9-2022.]
165	ACO	3.359	M						[ACO 3.359, rel. min. Marco Aurélio, red. do ac. min. Alexandre de Moraes, j. 25-4-2023, P, DJE de 20-6-2023.]
166	AI	630.997							[AI 630.997 AgR, rel. min. Eros Grau, j. 24-4-2007, 2ª T, DJ de 18-5-2007.]
167	ADI	7.483	C						[ADI 7.483, rel. min. Cristiano Zanin, j. 12-8-2024, P, DJE de 20-8-2024.]
168	ADI	5.668	E						[ADI 5.668, rel. min. Edson Fachin, j. 1º-7-2024, P, DJE de 21-8-2024.]
169	ADPF	334	A						[ADPF 334, rel. min. Alexandre de Moraes, j. 3-4-2023, P, DJE de 26-5-2023.]
170	ADPF	291	L						[ADPF 291, rel. min. Luís Roberto Barroso, j. 28-10-2015, P, DJE de 11-5-2016.]
171	RE	1.249.095	C						[RE 1.249.095, rel. min. Cristiano Zanin, j. 27-11-2024, P, DJE de 27-2-2025, Tema 1.086, com mérito julgado.]
172	HC	208.240	E						[HC 208.240, rel. min. Edson Fachin, j. 11-4-2024, P, DJE de 28-6-2024.]
173	RE	614.873	M						[RE 614.873, rel. min. Marco Aurélio, red. do ac. Alexandre de Moraes, j. 19-10-2023, P, DJE de 2-2-2024.]
174	ADPF	172							[ADPF 172 MC-REF, rel. min. Marco Aurélio, voto da min. Ellen Gracie, j. 10-6-2009, P, DJE de 21-8-2009.]
175	ARE	954.858	E						[ARE 954.858, rel. min. Edson Fachin, j. 23-8-2021, P, DJE de 24-9-2021, Tema 944.]
176	ADPF	101	C						[ADPF 101, rel. min. Cármen Lúcia, j. 24-6-2009, P, DJE de 4-6-2012.]
177	RE	222.368							[RE 222.368 AgR, rel. min. Celso de Mello, j. 30-4-2002, 2ª T, DJ de 14-2-2003.]
178	ACO	543							[ACO 543 AgR, rel. min. Sepúlveda Pertence, j. 30-8-2006, P, DJ de 24-11-2006.]
179	CR	10.849							[CR 10.849 AgR, rel. min. Maurício Corrêa, j. 28-4-2004, P, DJ de 21-5-2004.]
180	ADC	51	G						[ADC 51, rel. min. Gilmar Mendes, j. 23-2-2023, P, DJE de 28-4-2023.]
181	HC	89.171	M						[HC 89.171, rel. min. Marco Aurélio, red. do ac. min. Menezes Direito, j. 24-3-2009, 1ª T, DJE de 8-5-2009.]
182	CR	8.279							[CR 8.279 AgR, rel. min. Celso de Mello, j. 17-6-1998, P, DJ de 10-8-2000.]
183	ADC	85	G						[ADC 85, rel. min. Gilmar Mendes, j. 25-6-2025, P, DJE de 23-7-2025.]
184	ADI	4.285	N						[ADI 4.285, rel. min. Nunes Marques, j. 20-10-2025, P, DJE de 27-10-2025.]
185	ADI	5.255	N						[ADI 5.255, rel. min. Nunes Marques, red. do ac. min. Cristiano Zanin, j. 26-9-2025, P, Informativo STF 1.192.]
186	ADI	7.280	A						[ADI 7.280, rel. min. André Mendonça, j. 14-4-2025, P, DJE de 28-5-2025.]
187	ADI	5.157							[ADI 5.157, voto do rel. min. Gilmar Mendes, j. 9-12-2024, P, DJE de 19-12-2024.]
188	ADI	5.389	D						[ADI 5.389, rel. min. Dias Toffoli, j. 21-10-2024, P, DJE de 25-11-2024.]
189	ADI	4.151							[ADI 4.151 ED, rel. min. Gilmar Mendes, j. 2-9-2024, P, DJE de 6-9-2024.]
190	ADPF	462	E						[ADPF 462, rel. min. Edson Fachin, j. 1º-7-2024, P, DJE de 22-8-2024.]
191	ADI	7.399	A						[ADI 7.399, rel. min. Alexandre de Moraes, j. 8-11-2023, P, DJE de 17-11-2023.]
192	ADI	6.446	E						[ADI 6.446, rel. min. Edson Fachin, j. 3-7-2023, P, DJE de 5-9-2023.]
193	ADI	6.680							[ADI 6.680 MC, rel. min. Rosa Weber, j. 3-7-2023, P, DJE de 5-9-2023.]
194	ADI	7.013	C						[ADI 7.013, rel. min. Cármen Lúcia, j. 3-7-2023, P, DJE de 5-9-2023.]
195	ADI	3.236	C						[ADI 3.236, rel. min. Cármen Lúcia, j. 25-4-2023, P, DJE de 19-5-2023.]
196	ADI	6.119							[ADI 6.119 MC-REF, rel. min. Edson Fachin, j. 21-9-2022, P, DJE de 23-11-2022.]
197	ADI	3.918	D						[ADI 3.918, rel. min. Dias Toffoli, j. 16-5-2022, P, DJE de 9-6-2022.]
198	ADI	5.583	M						[ADI 5.583, rel. min. Marco Aurélio, red. do ac. min. Luís Roberto Barroso, j. 14-5-2021, P, DJE de 28-6-2021.]
199	ADPF	336	L						[ADPF 336, rel. min. Luiz Fux, j. 1º-3-2021, P, DJE de 10-5-2021.]
200	ADI	6.012	A						[ADI 6.012, rel. min. Alexandre de Moraes, j. 27-9-2019, P, DJE de 15-10-2019.]
201	ADI	5.243	A						[ADI 5.243, rel. min. Alexandre de Moraes, red. do ac. min. Edson Fachin, j. 11-4-2019, P, DJE de 5-8-2019.]
202	ADI	5.044	A						[ADI 5.044, rel. min. Alexandre de Moraes, j. 11-10-2018, P, DJE de 27-6-2019.]
203	ADI	5.617	E						[ADI 5.617, rel. min. Edson Fachin, j. 15-3-2018, P, DJE de 3-10-2018.]
204	ADI	4.747							[ADI 4.747,ADI 4.756, ADI 4.923 e ADI 4.679, rel. min. Luiz Fux, j. 8-11-2017, P, DJE de 5-4-2018.]
205	ADC	41	L						[ADC 41, rel. min. Luís Roberto Barroso, j. 8-6-2017, P, DJE de 17-8-2017.]
206	ADI	2.418							[ADI 2.418, voto do rel. min. Teori Zavascki, j. 4-5-2016, P, DJE de 17-11-2016.]
207	ADI	3.330	A						[ADI 3.330, rel. min. Ayres Britto, j. 3-5-2012, P, DJE de 22-3-2013.]
208	ADPF	186	R						[ADPF 186, rel. min. Ricardo Lewandowski, j. 26-4-2012, P, DJE de 20-10-2014.]
209	ADPF	54	M						[ADPF 54, rel. min. Marco Aurélio, j. 12-4-2012, P, DJE de 30-4-2013.]
210	ADI	4.364	D						[ADI 4.364, rel. min. Dias Toffoli, j. 2-3-2011, P, DJE de 16-5-2011.]
211	ADI	3.795	A						[ADI 3.795, rel. min. Ayres Britto, j. 24-2-2011, P, DJE de 16-6-2011.]
